小学校設置者コード,学校コード,都道府県名,設置者名,学校種,地域の規模等に応じたまとまり,地域区分,層_学校規模,学校名,答案番号,性別,実施日_国語,実施日_算数,点字問題用紙,拡大文字問題用紙,正答数_国語,正答数_算数,解答類型_国語_１一,解答類型_国語_１二（１）,解答類型_国語_１二（２）,解答類型_国語_１二（３）,解答類型_国語_２一,解答類型_国語_２二,解答類型_国語_２三ア,解答類型_国語_２三イ,解答類型_国語_２四,解答類型_国語_３一,解答類型_国語_３二,解答類型_国語_３三（１）,解答類型_国語_３三（２）,解答類型_算数_１（１）,解答類型_算数_１（２）,解答類型_算数_１（３）,解答類型_算数_１（４）,解答類型_算数_２（１）,解答類型_算数_２（２）,解答類型_算数_２（３）,解答類型_算数_２（４）,解答類型_算数_３（１）,解答類型_算数_３（２）,解答類型_算数_３（３）,解答類型_算数_３（４）,解答類型_算数_４（１）,解答類型_算数_４（２）,解答類型_算数_４（３）,解答類型_算数_４（４）,解答正誤_国語_１一,解答正誤_国語_１二（１）,解答正誤_国語_１二（２）,解答正誤_国語_１二（３）,解答正誤_国語_２一,解答正誤_国語_２二,解答正誤_国語_２三ア,解答正誤_国語_２三イ,解答正誤_国語_２四,解答正誤_国語_３一,解答正誤_国語_３二,解答正誤_国語_３三（１）,解答正誤_国語_３三（２）,解答正誤_算数_１（１）,解答正誤_算数_１（２）,解答正誤_算数_１（３）,解答正誤_算数_１（４）,解答正誤_算数_２（１）,解答正誤_算数_２（２）,解答正誤_算数_２（３）,解答正誤_算数_２（４）,解答正誤_算数_３（１）,解答正誤_算数_３（２）,解答正誤_算数_３（３）,解答正誤_算数_３（４）,解答正誤_算数_４（１）,解答正誤_算数_４（２）,解答正誤_算数_４（３）,解答正誤_算数_４（４）,正答数_国語_内容1,正答数_国語_内容2,正答数_国語_内容3,正答数_国語_内容4,正答数_国語_内容5,正答数_国語_内容6,正答数_国語_観点1,正答数_国語_観点2,正答数_国語_観点3,正答数_国語_形式1,正答数_国語_形式2,正答数_国語_形式3,正答数_算数_領域1,正答数_算数_領域2,正答数_算数_領域3,正答数_算数_領域4,正答数_算数_領域5,正答数_算数_観点1,正答数_算数_観点2,正答数_算数_観点3,正答数_算数_形式1,正答数_算数_形式2,正答数_算数_形式3,国語・児童質問回答_001,国語・児童質問回答_002,算数・児童質問回答_001,算数・児童質問回答_002
,,岩手県,,,,,,,,,1,1,0,0,13,13,3,1,3,4,3,1,1,1,1,4,1,3,1,1,1,99,2,2,3,1,1,1,1,1,3,1,1,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,1,1,1,1,1,1,1,1,5,1,4,2,,3,2,2,6,7,,9,2,2,7,2,1,3,2,10,3,,5,6,2,1,2,1,1
,,岩手県,,,,,,,,,1,1,0,0,11,16,3,1,3,2,3,1,1,2,1,4,1,3,1,1,1,1,1,2,3,1,1,1,1,3,3,1,1,1,2,1,1,1,5,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,,3,2,2,4,7,,8,1,2,8,4,1,3,4,12,4,,5,8,3,1,2,1,1
,,岩手県,,,,,,,,,1,1,0,0,13,14,3,1,3,4,3,1,1,1,1,4,1,3,1,1,1,1,1,2,1,2,1,1,1,1,3,1,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,1,4,2,,3,2,2,6,7,,9,2,2,8,4,1,2,3,11,3,,4,7,3,1,2,1,1
,,岩手県,,,,,,,,,1,1,0,0,12,12,3,1,3,4,3,3,1,1,1,4,1,3,1,1,1,1,1,2,9,4,1,1,2,7,3,1,1,1,4,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,5,1,1,1,1,1,5,4,1,,3,2,2,5,7,,8,2,2,7,4,1,1,3,9,3,,3,6,3,1,2,1,1
,,岩手県,,,,,,,,,1,1,0,0,13,12,3,1,3,4,3,1,1,1,1,4,1,3,1,1,1,5,1,2,4,4,4,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,5,5,1,1,1,1,1,1,1,1,4,2,,3,2,2,6,7,,9,2,2,7,3,1,0,4,9,3,,3,6,3,1,2,1,2
,,岩手県,,,,,,,,,1,1,0,0,11,10,3,1,3,4,3,1,99,2,1,4,1,3,1,1,1,0,1,2,99,1,4,1,1,14,3,1,1,4,0,1,1,1,1,1,1,5,5,1,1,1,1,1,1,1,0,1,1,5,1,5,1,1,5,1,1,1,5,0,2,2,,3,2,2,4,7,,9,0,2,6,3,1,1,2,7,3,,3,5,2,1,1,2,1
,,岩手県,,,,,,,,,1,1,0,0,11,10,3,1,3,4,3,1,1,1,4,4,1,4,1,1,99,1,1,2,4,4,2,1,1,8,3,1,1,4,2,1,1,1,1,1,1,1,1,5,1,1,5,1,1,5,1,1,1,5,5,5,1,1,5,1,1,1,5,1,4,2,,3,1,1,6,5,,8,2,1,6,3,1,0,3,8,2,,3,5,2,1,1,1,1
,,岩手県,,,,,,,,,1,1,0,0,12,10,3,1,3,4,3,3,1,1,1,4,1,3,1,1,1,5,1,2,1,4,2,1,1,8,3,1,1,0,0,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,5,1,1,1,5,5,1,1,5,1,1,1,0,0,4,1,,3,2,2,5,7,,8,2,2,6,3,1,1,2,8,2,,2,6,2,1,3,1,4
,,岩手県,,,,,,,,,1,1,0,0,11,9,3,1,3,4,3,1,1,2,1,4,1,3,99,2,1,2,1,2,0,4,2,1,1,0,3,1,1,4,2,1,1,1,1,1,1,1,5,1,1,1,1,5,5,1,5,1,1,0,5,5,1,1,0,1,1,1,5,1,3,2,,3,2,1,5,6,,9,1,1,6,2,1,0,3,7,2,,3,4,2,2,4,2,3
,,岩手県,,,,,,,,,1,1,0,0,10,10,3,1,3,4,1,1,1,1,1,4,1,0,0,1,3,0,1,2,1,4,2,1,1,13,3,1,1,4,2,1,1,1,1,5,1,1,1,1,1,1,0,0,1,5,0,1,1,1,5,5,1,1,5,1,1,1,5,1,4,2,,3,1,0,6,4,,7,2,1,6,2,1,1,3,8,2,,3,5,2,1,3,2,3
