小学校設置者コード,学校コード,都道府県名,設置者名,学校種,地域の規模等に応じたまとまり,地域区分,層_学校規模,学校名,答案番号,性別,実施_児童質問,児童質問_001,児童質問_002,児童質問_003,児童質問_004,児童質問_005,児童質問_006,児童質問_007,児童質問_008,児童質問_009,児童質問_010,児童質問_011,児童質問_012,児童質問_013,児童質問_014,児童質問_015,児童質問_016,児童質問_017,児童質問_018,児童質問_019,児童質問_020,児童質問_021,児童質問_022,児童質問_023,児童質問_024,児童質問_025,児童質問_026,児童質問_027,児童質問_028,児童質問_029,児童質問_030,児童質問_031,児童質問_032,児童質問_033,児童質問_034,児童質問_035,児童質問_036,児童質問_037,児童質問_038,児童質問_039,児童質問_040,児童質問_041,児童質問_042,児童質問_043,児童質問_044,児童質問_045,児童質問_046,児童質問_047,児童質問_048,児童質問_049,児童質問_050,児童質問_051,児童質問_052,児童質問_053,児童質問_054,児童質問_055,児童質問_056,児童質問_057,児童質問_058,児童質問_059,児童質問_060,児童質問_061,児童質問_062,児童質問_063,児童質問_064,児童質問_065,児童質問_066,児童質問_067,児童質問_068,児童質問_069,児童質問_070,児童質問_071,児童質問_072,児童質問_073,児童質問_074,児童質問_075,児童質問_076,児童質問_077,児童質問_078,児童質問_079,児童質問_080,児童質問_081,児童質問_082,児童質問_083,児童質問_084,児童質問_085,児童質問_086,児童質問_087,児童質問_088,児童質問_089,児童質問_090,児童質問_091,児童質問_092,児童質問_093,児童質問_094,児童質問_095,児童質問_096,児童質問_097,児童質問_098,児童質問_099,児童質問_100,児童質問_101,児童質問_102,児童質問_103,児童質問_104,学校質問_001,学校質問_002,学校質問_003,学校質問_004,学校質問_005,学校質問_006,学校質問_007,学校質問_008,学校質問_009,学校質問_010,学校質問_011,学校質問_012,学校質問_013,学校質問_014,学校質問_015,学校質問_016,学校質問_017,学校質問_018,学校質問_019,学校質問_020,学校質問_021,学校質問_022,学校質問_023,学校質問_024,学校質問_025,学校質問_026,学校質問_027,学校質問_028,学校質問_029,学校質問_030,学校質問_031,学校質問_032,学校質問_033,学校質問_034,学校質問_035,学校質問_036,学校質問_037,学校質問_038,学校質問_039,学校質問_040,学校質問_041,学校質問_042,学校質問_043,学校質問_044,学校質問_045,学校質問_046,学校質問_047,学校質問_048,学校質問_049,学校質問_050,学校質問_051,学校質問_052,学校質問_053,学校質問_054,学校質問_055,学校質問_056,学校質問_057,学校質問_058,学校質問_059,学校質問_060,学校質問_061,学校質問_062,学校質問_063,学校質問_064,学校質問_065,学校質問_066,学校質問_067,学校質問_068,学校質問_069,学校質問_070,学校質問_071,学校質問_072,学校質問_073,学校質問_074,学校質問_075,学校質問_076,学校質問_077,学校質問_078,学校質問_079,学校質問_080,学校質問_081,学校質問_082,学校質問_083,学校質問_084,学校質問_085,学校質問_086,学校質問_087,学校質問_088,学校質問_089,学校質問_090,学校質問_091,学校質問_092,学校質問_093
,,岩手県,,,,,,,,,,1,2,2,4,1,1,2,1,2,1,2,1,1,1,2,2,1,,2,,2,,,2,1,2,3,5,4,1,6,7,5,4,1,,2,,,,2,1,,1,1,1,1,2,,1,1,,,,,,,,,1,2,1,1,2,2,1,2,1,2,1,3,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,,,,,3,,,,,2,1,2,2,1,2,3,5,12,2,25,3,1,1,2,2,1,2,1,1,1,2,1,1,1,2,1,4,1,2,2,1,1,1,1,2,2,1,1,2,1,2,2,1,1,1,1,1,2,2,1,2,2,1,2,2,1,1,1,1,2,6,6,1,2,1,2,1,1,1,2,5,3,2,1,7,7,1,7,6,6,5,1,2,1,4,4,4,5,3,1,3,1,1,1,1,2,1,1
,,岩手県,,,,,,,,,,1,1,1,4,1,3,1,2,1,4,1,1,2,2,3,2,1,,1,,,1,,1,4,1,5,5,5,6,6,6,5,4,,2,,2,,,2,2,,2,1,1,1,1,,1,,,,1,,,,,,1,1,1,2,2,1,1,1,1,2,1,4,1,1,2,4,1,4,3,3,1,1,1,1,1,1,1,1,1,1,,,2,,,,4,,,,4,4,4,4,6,3,5,12,2,25,3,1,1,2,2,1,2,1,1,1,2,1,1,1,2,1,4,1,2,2,1,1,1,1,2,2,1,1,2,1,2,2,1,1,1,1,1,2,2,1,2,2,1,2,2,1,1,1,1,2,6,6,1,2,1,2,1,1,1,2,5,3,2,1,7,7,1,7,6,6,5,1,2,1,4,4,4,5,3,1,3,1,1,1,1,2,1,1
,,岩手県,,,,,,,,,,1,1,1,3,1,1,5,2,1,1,2,1,2,1,1,1,1,,,1,1,,,3,2,1,2,4,2,3,3,7,5,2,2,,,1,,,1,1,,1,1,1,2,1,,,,1,,,,,,,1,2,2,1,1,1,2,1,1,1,1,1,2,2,1,3,3,2,2,2,1,1,1,1,2,1,1,1,1,2,1,1,,,,,,1,,,,2,1,3,1,6,3,5,12,2,25,3,1,1,2,2,1,2,1,1,1,2,1,1,1,2,1,4,1,2,2,1,1,1,1,2,2,1,1,2,1,2,2,1,1,1,1,1,2,2,1,2,2,1,2,2,1,1,1,1,2,6,6,1,2,1,2,1,1,1,2,5,3,2,1,7,7,1,7,6,6,5,1,2,1,4,4,4,5,3,1,3,1,1,1,1,2,1,1
,,岩手県,,,,,,,,,,2,3,2,4,1,2,1,3,2,3,2,1,3,2,4,3,4,2,,,,,3,3,3,2,3,4,4,4,3,5,3,2,2,,2,,,,2,2,,1,2,2,2,2,,,2,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,1,1,2,2,3,3,3,2,2,2,2,1,,,,,2,2,,,,,3,3,3,3,5,3,5,12,2,25,3,1,1,2,2,1,2,1,1,1,2,1,1,1,2,1,4,1,2,2,1,1,1,1,2,2,1,1,2,1,2,2,1,1,1,1,1,2,2,1,2,2,1,2,2,1,1,1,1,2,6,6,1,2,1,2,1,1,1,2,5,3,2,1,7,7,1,7,6,6,5,1,2,1,4,4,4,5,3,1,3,1,1,1,1,2,1,1
,,岩手県,,,,,,,,,,1,2,2,7,1,2,3,2,2,1,2,1,2,1,2,2,2,,2,,,2,,2,2,3,3,3,4,4,3,5,2,1,2,,,,,2,3,2,,2,0,1,1,1,,2,,,,,,,,,4,3,1,2,1,2,1,2,2,1,2,1,2,2,3,1,2,1,1,3,2,2,1,2,1,3,1,1,1,1,2,,,,,,,1,,1,,3,2,2,2,6,3,5,12,2,25,3,1,1,2,2,1,2,1,1,1,2,1,1,1,2,1,4,1,2,2,1,1,1,1,2,2,1,1,2,1,2,2,1,1,1,1,1,2,2,1,2,2,1,2,2,1,1,1,1,2,6,6,1,2,1,2,1,1,1,2,5,3,2,1,7,7,1,7,6,6,5,1,2,1,4,4,4,5,3,1,3,1,1,1,1,2,1,1
,,岩手県,,,,,,,,,,1,3,2,3,1,3,5,4,1,4,4,1,4,2,4,4,2,3,,,,2,,3,3,4,3,5,4,5,5,7,4,4,1,,,,1,,3,,2,3,2,3,4,3,,,,,,,2,,,,6,3,3,3,2,2,3,3,2,3,3,4,3,3,4,2,1,2,2,3,3,3,3,3,2,3,2,3,3,3,1,,1,,,,3,,,,,1,1,2,0,0,3,5,12,2,25,3,1,1,2,2,1,2,1,1,1,2,1,1,1,2,1,4,1,2,2,1,1,1,1,2,2,1,1,2,1,2,2,1,1,1,1,1,2,2,1,2,2,1,2,2,1,1,1,1,2,6,6,1,2,1,2,1,1,1,2,5,3,2,1,7,7,1,7,6,6,5,1,2,1,4,4,4,5,3,1,3,1,1,1,1,2,1,1
,,岩手県,,,,,,,,,,1,1,1,4,1,1,1,1,3,1,1,1,1,1,4,1,4,,1,,,1,,5,3,1,1,4,2,4,4,2,4,3,1,,,,,1,1,1,,2,1,1,1,1,,,,1,,,,,1,,,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,,,,1,4,,,,,,1,1,3,1,2,3,5,12,2,25,3,1,1,2,2,1,2,1,1,1,2,1,1,1,2,1,4,1,2,2,1,1,1,1,2,2,1,1,2,1,2,2,1,1,1,1,1,2,2,1,2,2,1,2,2,1,1,1,1,2,6,6,1,2,1,2,1,1,1,2,5,3,2,1,7,7,1,7,6,6,5,1,2,1,4,4,4,5,3,1,3,1,1,1,1,2,1,1
,,岩手県,,,,,,,,,,1,2,1,4,1,1,3,2,1,1,2,1,1,1,2,2,1,,2,,2,,,3,1,2,4,0,0,0,2,4,4,4,,1,,2,,,2,,1,2,2,2,3,2,,,,1,,,,2,,,,2,2,2,2,1,2,2,2,2,2,2,1,2,1,1,2,1,1,2,2,2,2,3,0,2,2,2,2,2,1,3,2,,,,,,,,,3,3,3,2,4,3,5,12,2,25,3,1,1,2,2,1,2,1,1,1,2,1,1,1,2,1,4,1,2,2,1,1,1,1,2,2,1,1,2,1,2,2,1,1,1,1,1,2,2,1,2,2,1,2,2,1,1,1,1,2,6,6,1,2,1,2,1,1,1,2,5,3,2,1,7,7,1,7,6,6,5,1,2,1,4,4,4,5,3,1,3,1,1,1,1,2,1,1
,,岩手県,,,,,,,,,,1,3,3,2,1,1,2,4,3,1,2,1,3,2,4,4,1,,,2,2,,,3,3,4,3,5,4,4,4,5,3,4,2,,,3,,,2,3,,3,3,4,4,3,,,,3,3,,,,,,,3,3,1,4,2,4,3,3,2,1,4,2,2,3,4,4,4,2,3,4,4,4,4,4,4,2,3,3,1,1,,,4,,,,,,,3,2,2,4,1,6,3,5,12,2,25,3,1,1,2,2,1,2,1,1,1,2,1,1,1,2,1,4,1,2,2,1,1,1,1,2,2,1,1,2,1,2,2,1,1,1,1,1,2,2,1,2,2,1,2,2,1,1,1,1,2,6,6,1,2,1,2,1,1,1,2,5,3,2,1,7,7,1,7,6,6,5,1,2,1,4,4,4,5,3,1,3,1,1,1,1,2,1,1
,,岩手県,,,,,,,,,,1,2,1,4,1,2,5,2,2,2,2,1,3,2,2,2,2,,2,,,2,,2,1,3,0,5,5,4,3,4,2,4,,1,,,3,,2,2,,2,2,2,3,2,,,,2,,,,,,2,,3,2,3,2,1,3,2,2,2,2,2,1,2,2,3,3,2,1,2,2,3,3,3,3,3,1,1,2,3,1,2,,2,,,,,,,,3,3,3,3,5,3,5,12,2,25,3,1,1,2,2,1,2,1,1,1,2,1,1,1,2,1,4,1,2,2,1,1,1,1,2,2,1,1,2,1,2,2,1,1,1,1,1,2,2,1,2,2,1,2,2,1,1,1,1,2,6,6,1,2,1,2,1,1,1,2,5,3,2,1,7,7,1,7,6,6,5,1,2,1,4,4,4,5,3,1,3,1,1,1,1,2,1,1
